Age,Attrition_rate,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,0,Rarely,477,Research & Development,7,4,Medical,36,1,F,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17
46,0,Rarely,705,Sales,2,4,Marketing,38,2,F,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1
33,0,Rarely,924,Research & Development,2,3,Medical,39,3,M,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0
44,0,Rarely,1459,Research & Development,10,4,Other,40,4,M,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3
30,0,Rarely,125,Research & Development,9,2,Medical,41,4,M,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8
39,1,Rarely,895,Sales,5,3,Technical Degree,42,4,M,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0
24,1,Rarely,813,Research & Development,1,3,Medical,45,2,M,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0
43,0,Rarely,1273,Research & Development,2,2,Medical,46,4,F,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4
50,1,Rarely,869,Sales,3,2,Marketing,47,1,M,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2
35,0,Rarely,890,Sales,2,3,Marketing,49,4,F,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2
36,0,Rarely,852,Research & Development,5,4,Life Sciences,51,2,F,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0
33,0,Frequently,1141,Sales,1,3,Life Sciences,52,3,F,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
35,0,Rarely,464,Research & Development,4,2,Other,53,3,M,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0
27,0,Rarely,1240,Research & Development,2,4,Life Sciences,54,4,F,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0
26,1,Rarely,1357,Research & Development,25,3,Life Sciences,55,1,M,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1
27,0,Frequently,994,Sales,8,3,Life Sciences,56,4,M,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7
30,0,Frequently,721,Research & Development,1,2,Medical,57,3,F,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7
41,1,Rarely,1360,Research & Development,12,3,Technical Degree,58,2,F,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8
34,0,Non-Travel,1065,Sales,23,4,Marketing,60,2,M,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7
37,0,Rarely,408,Research & Development,19,2,Life Sciences,61,2,M,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0
46,0,Frequently,1211,Sales,5,4,Marketing,62,1,M,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,0,Rarely,1229,Research & Development,8,1,Life Sciences,63,4,M,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1
48,1,Rarely,626,Research & Development,1,2,Life Sciences,64,1,M,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,1,Rarely,1434,Research & Development,5,4,Technical Degree,65,3,M,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,0,Rarely,1488,Sales,1,5,Marketing,68,2,F,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,0,Non-Travel,1097,Research & Development,11,2,Medical,70,3,M,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,0,Rarely,1443,Sales,23,3,Marketing,72,3,F,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,0,Frequently,515,Research & Development,1,2,Life Sciences,73,1,F,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,0,Frequently,853,Sales,18,5,Life Sciences,74,2,M,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8
35,0,Rarely,1142,Research & Development,23,4,Medical,75,3,F,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,0,Rarely,655,Research & Development,7,4,Life Sciences,76,4,M,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7
37,0,Rarely,1115,Research & Development,1,4,Life Sciences,77,1,M,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7
32,0,Rarely,427,Research & Development,1,3,Medical,78,1,M,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
38,0,Frequently,653,Research & Development,29,5,Life Sciences,79,4,F,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9
50,0,Rarely,989,Research & Development,7,2,Medical,80,2,F,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
59,0,Rarely,1435,Sales,25,3,Life Sciences,81,1,F,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9
36,0,Rarely,1223,Research & Development,8,3,Technical Degree,83,3,F,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8
55,0,Rarely,836,Research & Development,8,3,Medical,84,4,F,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,0,Frequently,1195,Research & Development,11,3,Life Sciences,85,2,M,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3
45,0,Rarely,1339,Research & Development,7,3,Life Sciences,86,2,M,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0
35,0,Frequently,664,Research & Development,1,3,Medical,88,2,M,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2
36,1,Rarely,318,Research & Development,9,3,Medical,90,4,M,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0
59,0,Frequently,1225,Sales,1,1,Life Sciences,91,1,F,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3
29,0,Rarely,1328,Research & Development,2,3,Life Sciences,94,3,M,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4
31,0,Rarely,1082,Research & Development,1,4,Medical,95,3,M,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0
32,0,Rarely,548,Research & Development,1,3,Life Sciences,96,2,M,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9
36,0,Rarely,132,Research & Development,6,3,Life Sciences,97,2,F,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0
31,0,Rarely,746,Research & Development,8,4,Life Sciences,98,3,F,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8
35,0,Rarely,776,Sales,1,4,Marketing,100,3,M,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8
45,0,Rarely,193,Research & Development,6,4,Other,101,4,M,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0
37,0,Rarely,397,Research & Development,7,4,Medical,102,1,M,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2
46,0,Rarely,945,Human Resources,5,2,Medical,103,2,M,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,0,Rarely,852,Research & Development,1,1,Life Sciences,104,4,M,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,0,Rarely,1214,Research & Development,1,3,Medical,105,2,M,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4
55,0,Rarely,111,Sales,1,2,Life Sciences,106,1,M,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0
38,0,Non-Travel,573,Research & Development,6,3,Medical,107,2,F,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,0,Rarely,1153,Research & Development,1,2,Medical,110,1,M,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3
56,0,Rarely,1400,Research & Development,7,3,Life Sciences,112,4,M,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2
23,0,Rarely,541,Sales,2,1,Technical Degree,113,3,M,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0
51,0,Rarely,432,Research & Development,9,4,Life Sciences,116,4,M,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3
30,0,Rarely,288,Research & Development,2,3,Life Sciences,117,3,M,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8
46,1,Rarely,669,Sales,9,2,Medical,118,3,M,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7
40,0,Frequently,530,Research & Development,1,4,Life Sciences,119,3,M,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11
51,0,Rarely,632,Sales,21,4,Marketing,120,3,M,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,0,Rarely,1334,Sales,4,2,Medical,121,3,F,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,0,Frequently,638,Research & Development,1,3,Medical,124,3,M,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,0,Rarely,1093,Sales,6,4,Medical,125,2,M,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7
54,0,Rarely,1217,Research & Development,2,4,Technical Degree,126,1,F,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3
24,0,Rarely,1353,Sales,3,2,Other,128,1,F,33,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2
28,0,Non-Travel,120,Sales,4,3,Medical,129,2,M,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4
58,0,Rarely,682,Sales,10,4,Medical,131,4,M,37,3,4,Sales Executive,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8
44,0,Non-Travel,489,Research & Development,23,3,Medical,132,2,M,67,3,2,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2
37,1,Rarely,807,Human Resources,6,4,Human Resources,133,3,M,63,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2
32,0,Rarely,827,Research & Development,1,1,Life Sciences,134,4,M,71,3,1,Research Scientist,1,Single,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0
20,1,Frequently,871,Research & Development,6,3,Life Sciences,137,4,F,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0
34,0,Rarely,665,Research & Development,6,4,Other,138,1,F,41,3,2,Research Scientist,3,Single,4809,12482,1,No,14,3,3,0,16,3,3,16,13,2,10
37,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,3,M,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
59,0,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3,F,32,2,5,Manager,4,Married,18844,21922,9,No,21,4,4,1,30,3,3,3,2,2,2
50,0,Frequently,1115,Research & Development,1,3,Life Sciences,141,1,F,73,3,5,Research Director,2,Married,18172,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,1,Rarely,240,Sales,5,3,Marketing,142,3,M,46,2,2,Sales Executive,3,Single,5744,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,0,Rarely,1280,Research & Development,7,1,Medical,143,4,M,64,2,1,Research Scientist,4,Married,2889,26897,1,No,11,3,3,2,2,2,3,2,2,2,1
22,0,Rarely,534,Research & Development,15,3,Medical,144,2,F,59,3,1,Laboratory Technician,4,Single,2871,23785,1,No,15,3,3,0,1,5,3,0,0,0,0
51,0,Frequently,1456,Research & Development,1,4,Medical,145,1,F,30,2,3,Healthcare Representative,1,Single,7484,25796,3,No,20,4,3,0,23,1,2,13,12,12,8
34,1,Frequently,658,Research & Development,7,3,Life Sciences,147,1,M,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6
54,0,Non-Travel,142,Human Resources,26,3,Human Resources,148,4,F,30,4,4,Manager,4,Single,17328,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,0,Rarely,1127,Research & Development,18,1,Life Sciences,150,2,M,52,3,1,Laboratory Technician,3,Married,2774,13257,0,No,12,3,3,1,6,2,3,5,3,1,2
34,0,Rarely,1031,Research & Development,6,4,Life Sciences,151,3,F,45,2,2,Research Scientist,2,Divorced,4505,15000,6,No,15,3,3,1,12,3,3,1,0,0,0
37,0,Rarely,1189,Sales,3,3,Life Sciences,152,3,M,87,3,3,Sales Executive,4,Single,7428,14506,2,No,12,3,1,0,12,3,3,5,3,1,3
34,0,Rarely,1354,Research & Development,5,3,Medical,153,3,F,45,2,3,Manager,1,Single,11631,5615,2,No,12,3,4,0,14,6,3,11,10,5,8
36,0,Frequently,1467,Sales,11,2,Technical Degree,154,2,F,92,3,3,Sales Executive,4,Married,9738,22952,0,No,14,3,3,1,10,6,3,9,7,2,8
36,0,Rarely,922,Research & Development,3,2,Life Sciences,155,1,F,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,No,22,4,1,1,7,2,3,1,0,0,0
43,0,Frequently,394,Sales,26,2,Life Sciences,158,3,M,92,3,4,Manager,4,Married,16959,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12
30,0,Frequently,1312,Research & Development,23,3,Life Sciences,159,1,M,96,1,1,Research Scientist,3,Divorced,2613,22310,1,No,25,4,3,3,10,2,2,10,7,0,9
33,0,Non-Travel,750,Sales,22,2,Marketing,160,3,M,95,3,2,Sales Executive,2,Married,6146,15480,0,No,13,3,1,1,8,2,4,7,7,0,7
56,1,Rarely,441,Research & Development,14,4,Life Sciences,161,2,F,72,3,1,Research Scientist,2,Married,4963,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,0,Rarely,684,Research & Development,6,3,Life Sciences,162,1,M,51,3,5,Research Director,3,Single,19537,6462,7,No,13,3,3,0,23,5,3,20,18,15,15
31,1,Rarely,249,Sales,6,4,Life Sciences,163,2,M,76,1,2,Sales Executive,3,Married,6172,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,0,Rarely,841,Research & Development,6,3,Other,164,3,F,46,2,1,Research Scientist,2,Married,2368,23300,1,No,19,3,3,0,5,3,2,5,4,4,3
58,1,Rarely,147,Research & Development,23,4,Medical,165,4,F,94,3,3,Healthcare Representative,4,Married,10312,3465,1,No,12,3,4,1,40,3,2,40,10,15,6
19,1,Rarely,528,Sales,22,1,Marketing,167,4,M,50,3,1,Sales Representative,3,Single,1675,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,0,Rarely,594,Research & Development,2,1,Technical Degree,169,3,M,100,3,1,Laboratory Technician,4,Married,2523,19299,0,No,14,3,3,1,3,2,3,2,1,2,1
49,0,Rarely,470,Research & Development,20,4,Medical,170,3,F,96,3,2,Manufacturing Director,1,Married,6567,5549,1,No,14,3,3,0,16,2,2,15,11,5,11
43,0,Frequently,957,Research & Development,28,3,Medical,171,2,F,72,4,1,Research Scientist,3,Single,4739,16090,4,No,12,3,4,0,18,2,3,3,2,1,2
50,0,Frequently,809,Sales,12,3,Marketing,174,3,F,77,3,3,Sales Executive,4,Single,9208,6645,4,No,11,3,4,0,16,3,3,2,2,2,1
31,1,Rarely,542,Sales,20,3,Life Sciences,175,2,F,71,1,2,Sales Executive,3,Married,4559,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,0,Rarely,802,Sales,9,1,Life Sciences,176,3,M,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,0,Rarely,1355,Human Resources,25,1,Life Sciences,177,3,F,61,3,1,Human Resources,3,Married,2942,8916,1,No,23,4,4,1,8,3,3,8,7,5,7
36,0,Rarely,216,Research & Development,6,2,Medical,178,2,M,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,No,20,4,4,2,7,0,3,3,2,0,1
51,1,Frequently,1150,Research & Development,8,4,Life Sciences,179,1,M,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,0,18,2,3,4,2,0,3
39,0,Rarely,1329,Sales,4,4,Life Sciences,182,4,F,47,2,2,Sales Executive,3,Married,5902,14590,4,No,14,3,3,1,17,1,4,15,11,5,9
25,0,Rarely,959,Sales,28,3,Life Sciences,183,1,M,41,2,2,Sales Executive,3,Married,8639,24835,2,No,18,3,4,0,6,3,3,2,2,2,2
30,0,Rarely,1240,Human Resources,9,3,Human Resources,184,3,M,48,3,2,Human Resources,4,Married,6347,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7
32,1,Rarely,1033,Research & Development,9,3,Medical,190,1,F,41,3,1,Laboratory Technician,1,Single,4200,10224,7,No,22,4,1,0,10,2,4,5,4,0,4
45,0,Rarely,1316,Research & Development,29,3,Medical,192,3,M,83,3,1,Research Scientist,4,Single,3452,9752,5,No,13,3,2,0,9,2,2,6,5,0,3
38,0,Rarely,364,Research & Development,3,5,Technical Degree,193,4,F,32,3,2,Research Scientist,3,Single,4317,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,0,Rarely,438,Research & Development,18,3,Life Sciences,194,1,F,75,3,1,Research Scientist,3,Single,2632,23910,1,No,14,3,3,0,5,4,2,5,4,0,4
32,0,Frequently,689,Sales,9,2,Medical,195,4,M,35,1,2,Sales Executive,4,Divorced,4668,22812,0,No,17,3,4,3,9,2,4,8,7,0,7
30,0,Rarely,201,Research & Development,5,3,Technical Degree,197,4,F,84,3,1,Research Scientist,1,Divorced,3204,10415,5,No,14,3,4,1,8,3,3,3,2,2,2
30,0,Rarely,1427,Research & Development,2,1,Medical,198,2,M,35,2,1,Laboratory Technician,4,Single,2720,11162,0,No,13,3,4,0,6,3,3,5,3,1,2
41,0,Frequently,857,Research & Development,10,3,Life Sciences,199,4,M,91,2,4,Manager,1,Divorced,17181,12888,4,No,13,3,2,1,21,2,2,7,6,7,7
41,0,Rarely,933,Research & Development,9,4,Life Sciences,200,3,M,94,3,1,Laboratory Technician,1,Married,2238,6961,2,No,21,4,4,1,7,2,3,5,0,1,4
19,0,Rarely,1181,Research & Development,3,1,Medical,201,2,F,79,3,1,Laboratory Technician,2,Single,1483,16102,1,No,14,3,4,0,1,3,3,1,0,0,0
40,0,Frequently,1395,Research & Development,26,3,Medical,202,2,F,54,3,2,Research Scientist,2,Divorced,5605,8504,1,No,11,3,1,1,20,2,3,20,7,2,13
35,0,Rarely,662,Sales,1,5,Marketing,204,3,M,94,3,3,Sales Executive,2,Married,7295,11439,1,No,13,3,1,2,10,3,3,10,8,0,6
53,0,Rarely,1436,Sales,6,2,Marketing,205,2,M,34,3,2,Sales Representative,3,Married,2306,16047,2,Yes,20,4,4,1,13,3,1,7,7,4,5
45,0,Rarely,194,Research & Development,9,3,Life Sciences,206,2,M,60,3,2,Laboratory Technician,2,Divorced,2348,10901,8,No,18,3,3,1,20,2,1,17,9,0,15
32,0,Frequently,967,Sales,8,3,Marketing,207,2,F,43,3,3,Sales Executive,4,Single,8998,15589,1,No,14,3,4,0,9,2,3,9,8,3,7
29,0,Non-Travel,1496,Research & Development,1,1,Technical Degree,208,4,M,41,3,2,Manufacturing Director,3,Married,4319,26283,1,No,13,3,1,1,10,1,3,10,7,0,9
51,0,Rarely,1169,Research & Development,7,4,Medical,211,2,M,34,2,2,Manufacturing Director,3,Married,6132,13983,2,No,17,3,3,0,10,2,3,1,0,0,0
58,0,Rarely,1145,Research & Development,9,3,Medical,214,2,F,75,2,1,Research Scientist,2,Married,3346,11873,4,Yes,20,4,2,1,9,3,2,1,0,0,0
40,0,Rarely,630,Sales,4,4,Marketing,215,3,M,67,2,3,Sales Executive,4,Married,10855,8552,7,No,11,3,1,1,15,2,2,12,11,2,11
34,0,Frequently,303,Sales,2,4,Marketing,216,3,F,75,3,1,Sales Representative,3,Married,2231,11314,6,No,18,3,4,1,6,3,3,4,3,1,2
